Titles,Links,Contents
"How many managers are there for cv""s",https://www.thelayoff.com/t/1jWHtJXq,"How many managers are there for connected vehicles? It seems every other person seems to showcase and designates himself /herself on linkedin that they are THE cloud connectivity manager for ev""s"
"Nice move, huh?",https://www.thelayoff.com/t/1jVWRKW3,"""In a series of tweets Monday, (EM) went after Apple (AAPL), accused the tech giant, and world's most-valuable company, for what he claimed was Apple's (AAPL) slashing of its advertising on Twitter (TWTR)."""
"Twitter has lost 50 of its top 100 advertisers since Elon Musk took over, report says",https://www.thelayoff.com/t/1jTnq5hA,https://www.npr.org/2022/11/25/1139180002/twitter-loses-50-top-advertisers-elon-musk
Elon claims Trump never violated terms...,https://www.thelayoff.com/t/1jT1fZBp,https://twitter.com/elonmusk/status/1596275526259425280?t=9TqoBZJI_xXRUnqbdOgFyw&s=19
More layoffs - but how?,https://www.thelayoff.com/t/1jSx4wnM,"Who is even left to get rid of, other than some desperate people who truly have no choice, that is? All those with options or worth their salt have walked away already. I swear, it'll not take nearly as long as I thought for this whole wobbly house... â€”  read more "
No way this could backfire,https://www.thelayoff.com/t/1jS8SHE7,"Twitter layoffs trigger oversight risk warning from Brussels Staffers in the office were focused on European Union digital policy, working in close proximity to the seat of power of EUâ€™s executive, the European Commission â€” an entity with an... â€”  read more "
The Borg Elon,https://www.thelayoff.com/t/1jRvGpk8,"Elon has the right to do what he wants as he spent a lot of money to buy Twitter. However, the insensitive manner in which he did it shows a lack of human empathy. The bird is dead the culture is destroyed. The massive cuts are due to the extra 13... â€”  read more "
Is anybody other than H1Bs left at Twitter?,https://www.thelayoff.com/t/1jRcEVjF,Not Found
This has become one big mess,https://www.thelayoff.com/t/1jQFVseu,"Apple and Elon Musk's Twitter are on a collision course [ https://www.cnbc.com/2022/11/23/apple-and-elon-musks-twitter-are-on-a-collision-course.html ] I've already had enough drama, but it looks like there will be more of it."
Nobody sane or any good will want to join with that id--t in charge,https://www.thelayoff.com/t/1jQLESdg,"Hillicon Valley â€” Musk ends layoffs, actively recruiting After weeks of massive layoffs at Twitter, Elon Musk is turning the corner and looking to hire again for roles in sales and... â€”  read more "
How would this affect severance? ,https://www.thelayoff.com/t/1jQQF6UO,"I think we can all agree that Twitter is headed for bankruptcy. Now, I know next to nothing about the bankruptcy process, and my online research has only served to increase my confusion. Can someone please clarify to me what this would mean in terms... â€”  read more "
Leon = Sloppier Bill Gates,https://www.thelayoff.com/t/1jQJUpza,https://youtu.be/OeoBWzIRuic
Twitter in two years,https://www.thelayoff.com/t/1jP02EhY,"I personally don't see my future at Twitter anymore. Five years is too long, so I ask where do you see this company in two years? I wouldn't like dark forecasts for this company to come true, but on the other hand, the future does not look very... â€”  read more "
To all the foreign workers,https://www.thelayoff.com/t/1jPK1Awp,https://books.google.com/books/about/Beasts_of_the_Field.html?id=DxOHu1EP36cC
Twtr house is clean and hiring begins for Twitter 2.0,https://www.thelayoff.com/t/1jPvpvj5,"Twitter's new owner Elon Musk told staff in an all-hands meeting that the company does not plan more layoffs and is recruiting for engineering and ad sales roles, according to a tweet by a the Verge reporter."
Pausing Ads,https://www.thelayoff.com/t/1jPjwhmT,Iâ€™ve seen a lot of technical and ideological takes on Elon Twitter but wanted to share the marketing perspective. For background Iâ€™m a director at a medium sized b2b tech company (not in finserv anymore) running a team that deploys about $80M in ad... â€”  read more 
Smuk's intention were never...,https://www.thelayoff.com/t/1jOMc0cj,Leons' intention were never to build this company that forced him to buy it. He would be happy grounding it and washing his hands away from it through bankruptcy.
Quit calling EM an engineer,https://www.thelayoff.com/t/1jOlZCT4,Quit calling EM an engineer
Here's something constructive to do...,https://www.thelayoff.com/t/1jOFJjVP,across California... https://www.highereducationinquirer.org/2022/11/university-of-california-academic.html
'It's over': Twitter France's head quits amid layoffs,https://www.thelayoff.com/t/1jOfP8Kv,"Twitter Inc's head of French operations, Damien Viel, said he was quitting the social media platform, whose new owner Elon Musk recently fired top executives and enforced steep job cuts at the... â€”  read more "
Meanwhile in Europe,https://www.thelayoff.com/t/1jNbpwp9,"So Musk sent emails to European Twitter employees, firing them. Problem is, you cannot legally fire people that way here, so legally they're still employed and legally owed money for their time. But also, firing people as exists in the USA doesn't... â€”  read more "
Flattery is one form of Drama: Twitter rule #1,https://www.thelayoff.com/t/1kcKGaCn,The amount of burnt ochre-nosing right now is pretty amazing. The Senator Rugburn of Loo-weezi-ana honking his bike ho-n for EM. The Senior Art Critic of the New Yawker calling it a Shakespearian drama. You can hardly find a kardashian article out... â€”  read more 
In Praise of H1B employees,https://www.thelayoff.com/t/1kbBCEXB,"Yeah, I know the ""they took my jerb"" xenobhopes aren't going to like this, but I don't really care what they think. Many of my colleagues early in my career were on H1B visas. Back in the day they weren't even transferable, so you had to stay with... â€”  read more "
Color me surprised.... Twitter Looking To Stiff Laid-Off Employees On Their Severance,https://www.thelayoff.com/t/1kbQGl63,https://www.huffpost.com/entry/twitter-elon-musk-severance_n_6399046fe4b0c2814647e679 The article references the New York TImes (paywall): https://www.nytimes.com/2022/12/13/technology/elon-musk-twitter-shakeup.html But the relevant part is... â€”  read more 
How far right will Twitter go?,https://www.thelayoff.com/t/1kbTIQ6c,https://podcasts.apple.com/us/podcast/citizen-kane-with-kane-and-devin-nunes/id1460600818?i=1000590094657
VA Jobs,https://www.thelayoff.com/t/1kaYSIsI,https://www.cnbc.com/2022/12/13/laid-off-tech-workers-are-being-wooed-by-the-federal-government.html
Chappelle Show...Chappelle Show,https://www.thelayoff.com/t/1kaSpufJ,https://www.youtube.com/watch?v=CzkreBMHUFY
ðŸ¤¡How much does this $45 Billion Company Cost?,https://www.thelayoff.com/t/1k9uuTFv,Melon worlds #1 negotiator!
Let's pretend we couldn't see it coming...again...,https://www.thelayoff.com/t/1k8NqaHi,"""We live in an economic system that is unsustainable, unjust, and exploitative. While many of us in academia and the thought industry have known this for decades, those with greater wisdom have known for centuries. Techies and disrupters think it can... â€”  read more "
You had better be quiet....or else!,https://www.thelayoff.com/t/1k8bp9L3,"https://www.yahoo.com/entertainment/musk-threatens-sue-twitter-employees-161222628.html He's gonna let you have it, if you snitch."
Things are looking up!,https://www.thelayoff.com/t/1k5ql9GG,Like all hurricanes things are calm again at HQ.
Would you accept the offer if you were called back?,https://www.thelayoff.com/t/1k2lChPm,"It's a miserable feeling to return to the company after being laid off, but I would probably accept the offer."
I definitely intended to leave the company anyway,https://www.thelayoff.com/t/1jZP2f7x,"Of course, I would have preferred to have found a new job before that, rather than find myself in the unenviable situation of looking for new opportunities when I no longer have a job, but I definitely intended to leave Twitter even before the... â€”  read more "
Beware the narrative you see here....,https://www.thelayoff.com/t/1jY7RFaE,The layoff.com censors all comments! You will see the narrative they want you to see!!!!
Many others impacted...,https://www.thelayoff.com/t/1jYlwNhv,With the reduction in workforce you have to see the trickle down effect as vendors who supported the cafeteria and janitorial services will also be greatly impacted. These hard workers will have a more challenging time finding new work. So its not... â€”  read more 
What would it take?,https://www.thelayoff.com/t/1jXE2A06,Impossible at Twitter? Or how about a union? https://en.wikipedia.org/wiki/The_Take_(2004_film) https://www.ueunion.org/org_steps.html
"Why should Amazing, hardworking and Competent engineers worry about jobs?",https://www.thelayoff.com/t/1jXJkXly,"All the great engineers won't worry because they can get hundreds of offers from any company in the universe. Unless the ""amazing, hardworking and competent"" part isn't true... ðŸ˜¬"
Any guess how many have already received a new offer?,https://www.thelayoff.com/t/1jXFrfkl,"I wish that colleagues who were laid off have already started getting new offers, but unfortunately, I think many of them will have to wait a long time to get a new opportunity. Those with whom I am still in contact are quite desperate on the job... â€”  read more "
I used to be proud to work here,https://www.thelayoff.com/t/1jWsz1ES,"Now I can't wait to leave... The worst thing that could've happened to me is that this was my only option. Fortunately, it's not."
What would happen??????,https://www.thelayoff.com/t/1jWHHopM,Of the 11K or so people laid off I am making a low estimate that they have 100 unique connections on all of their social media. What of they reached out and asked all there contacts to delete their twitter accounts. How would that if any impact... â€”  read more 
"How many managers are there for cv""s",https://www.thelayoff.com/t/1jWHtJXq,"How many managers are there for connected vehicles? It seems every other person seems to showcase and designates himself /herself on linkedin that they are THE cloud connectivity manager for ev""s"
"Nice move, huh?",https://www.thelayoff.com/t/1jVWRKW3,"""In a series of tweets Monday, (EM) went after Apple (AAPL), accused the tech giant, and world's most-valuable company, for what he claimed was Apple's (AAPL) slashing of its advertising on Twitter (TWTR)."""
"Twitter has lost 50 of its top 100 advertisers since Elon Musk took over, report says",https://www.thelayoff.com/t/1jTnq5hA,https://www.npr.org/2022/11/25/1139180002/twitter-loses-50-top-advertisers-elon-musk
Elon claims Trump never violated terms...,https://www.thelayoff.com/t/1jT1fZBp,https://twitter.com/elonmusk/status/1596275526259425280?t=9TqoBZJI_xXRUnqbdOgFyw&s=19
More layoffs - but how?,https://www.thelayoff.com/t/1jSx4wnM,"Who is even left to get rid of, other than some desperate people who truly have no choice, that is? All those with options or worth their salt have walked away already. I swear, it'll not take nearly as long as I thought for this whole wobbly house... â€”  read more "
No way this could backfire,https://www.thelayoff.com/t/1jS8SHE7,"Twitter layoffs trigger oversight risk warning from Brussels Staffers in the office were focused on European Union digital policy, working in close proximity to the seat of power of EUâ€™s executive, the European Commission â€” an entity with an... â€”  read more "
The Borg Elon,https://www.thelayoff.com/t/1jRvGpk8,"Elon has the right to do what he wants as he spent a lot of money to buy Twitter. However, the insensitive manner in which he did it shows a lack of human empathy. The bird is dead the culture is destroyed. The massive cuts are due to the extra 13... â€”  read more "
Is anybody other than H1Bs left at Twitter?,https://www.thelayoff.com/t/1jRcEVjF,Not Found
This has become one big mess,https://www.thelayoff.com/t/1jQFVseu,"Apple and Elon Musk's Twitter are on a collision course [ https://www.cnbc.com/2022/11/23/apple-and-elon-musks-twitter-are-on-a-collision-course.html ] I've already had enough drama, but it looks like there will be more of it."
Nobody sane or any good will want to join with that id--t in charge,https://www.thelayoff.com/t/1jQLESdg,"Hillicon Valley â€” Musk ends layoffs, actively recruiting After weeks of massive layoffs at Twitter, Elon Musk is turning the corner and looking to hire again for roles in sales and... â€”  read more "
How would this affect severance? ,https://www.thelayoff.com/t/1jQQF6UO,"I think we can all agree that Twitter is headed for bankruptcy. Now, I know next to nothing about the bankruptcy process, and my online research has only served to increase my confusion. Can someone please clarify to me what this would mean in terms... â€”  read more "
Leon = Sloppier Bill Gates,https://www.thelayoff.com/t/1jQJUpza,https://youtu.be/OeoBWzIRuic
Twitter in two years,https://www.thelayoff.com/t/1jP02EhY,"I personally don't see my future at Twitter anymore. Five years is too long, so I ask where do you see this company in two years? I wouldn't like dark forecasts for this company to come true, but on the other hand, the future does not look very... â€”  read more "
To all the foreign workers,https://www.thelayoff.com/t/1jPK1Awp,https://books.google.com/books/about/Beasts_of_the_Field.html?id=DxOHu1EP36cC
Twtr house is clean and hiring begins for Twitter 2.0,https://www.thelayoff.com/t/1jPvpvj5,"Twitter's new owner Elon Musk told staff in an all-hands meeting that the company does not plan more layoffs and is recruiting for engineering and ad sales roles, according to a tweet by a the Verge reporter."
Pausing Ads,https://www.thelayoff.com/t/1jPjwhmT,Iâ€™ve seen a lot of technical and ideological takes on Elon Twitter but wanted to share the marketing perspective. For background Iâ€™m a director at a medium sized b2b tech company (not in finserv anymore) running a team that deploys about $80M in ad... â€”  read more 
Smuk's intention were never...,https://www.thelayoff.com/t/1jOMc0cj,Leons' intention were never to build this company that forced him to buy it. He would be happy grounding it and washing his hands away from it through bankruptcy.
Quit calling EM an engineer,https://www.thelayoff.com/t/1jOlZCT4,Quit calling EM an engineer
Here's something constructive to do...,https://www.thelayoff.com/t/1jOFJjVP,across California... https://www.highereducationinquirer.org/2022/11/university-of-california-academic.html
'It's over': Twitter France's head quits amid layoffs,https://www.thelayoff.com/t/1jOfP8Kv,"Twitter Inc's head of French operations, Damien Viel, said he was quitting the social media platform, whose new owner Elon Musk recently fired top executives and enforced steep job cuts at the... â€”  read more "
Meanwhile in Europe,https://www.thelayoff.com/t/1jNbpwp9,"So Musk sent emails to European Twitter employees, firing them. Problem is, you cannot legally fire people that way here, so legally they're still employed and legally owed money for their time. But also, firing people as exists in the USA doesn't... â€”  read more "
Flattery is one form of Drama: Twitter rule #1,https://www.thelayoff.com/t/1kcKGaCn,The amount of burnt ochre-nosing right now is pretty amazing. The Senator Rugburn of Loo-weezi-ana honking his bike ho-n for EM. The Senior Art Critic of the New Yawker calling it a Shakespearian drama. You can hardly find a kardashian article out... â€”  read more 
In Praise of H1B employees,https://www.thelayoff.com/t/1kbBCEXB,"Yeah, I know the ""they took my jerb"" xenobhopes aren't going to like this, but I don't really care what they think. Many of my colleagues early in my career were on H1B visas. Back in the day they weren't even transferable, so you had to stay with... â€”  read more "
Color me surprised.... Twitter Looking To Stiff Laid-Off Employees On Their Severance,https://www.thelayoff.com/t/1kbQGl63,https://www.huffpost.com/entry/twitter-elon-musk-severance_n_6399046fe4b0c2814647e679 The article references the New York TImes (paywall): https://www.nytimes.com/2022/12/13/technology/elon-musk-twitter-shakeup.html But the relevant part is... â€”  read more 
How far right will Twitter go?,https://www.thelayoff.com/t/1kbTIQ6c,https://podcasts.apple.com/us/podcast/citizen-kane-with-kane-and-devin-nunes/id1460600818?i=1000590094657
VA Jobs,https://www.thelayoff.com/t/1kaYSIsI,https://www.cnbc.com/2022/12/13/laid-off-tech-workers-are-being-wooed-by-the-federal-government.html
Chappelle Show...Chappelle Show,https://www.thelayoff.com/t/1kaSpufJ,https://www.youtube.com/watch?v=CzkreBMHUFY
ðŸ¤¡How much does this $45 Billion Company Cost?,https://www.thelayoff.com/t/1k9uuTFv,Melon worlds #1 negotiator!
Let's pretend we couldn't see it coming...again...,https://www.thelayoff.com/t/1k8NqaHi,"""We live in an economic system that is unsustainable, unjust, and exploitative. While many of us in academia and the thought industry have known this for decades, those with greater wisdom have known for centuries. Techies and disrupters think it can... â€”  read more "
You had better be quiet....or else!,https://www.thelayoff.com/t/1k8bp9L3,"https://www.yahoo.com/entertainment/musk-threatens-sue-twitter-employees-161222628.html He's gonna let you have it, if you snitch."
Things are looking up!,https://www.thelayoff.com/t/1k5ql9GG,Like all hurricanes things are calm again at HQ.
Would you accept the offer if you were called back?,https://www.thelayoff.com/t/1k2lChPm,"It's a miserable feeling to return to the company after being laid off, but I would probably accept the offer."
I definitely intended to leave the company anyway,https://www.thelayoff.com/t/1jZP2f7x,"Of course, I would have preferred to have found a new job before that, rather than find myself in the unenviable situation of looking for new opportunities when I no longer have a job, but I definitely intended to leave Twitter even before the... â€”  read more "
Beware the narrative you see here....,https://www.thelayoff.com/t/1jY7RFaE,The layoff.com censors all comments! You will see the narrative they want you to see!!!!
Many others impacted...,https://www.thelayoff.com/t/1jYlwNhv,With the reduction in workforce you have to see the trickle down effect as vendors who supported the cafeteria and janitorial services will also be greatly impacted. These hard workers will have a more challenging time finding new work. So its not... â€”  read more 
What would it take?,https://www.thelayoff.com/t/1jXE2A06,Impossible at Twitter? Or how about a union? https://en.wikipedia.org/wiki/The_Take_(2004_film) https://www.ueunion.org/org_steps.html
"Why should Amazing, hardworking and Competent engineers worry about jobs?",https://www.thelayoff.com/t/1jXJkXly,"All the great engineers won't worry because they can get hundreds of offers from any company in the universe. Unless the ""amazing, hardworking and competent"" part isn't true... ðŸ˜¬"
Any guess how many have already received a new offer?,https://www.thelayoff.com/t/1jXFrfkl,"I wish that colleagues who were laid off have already started getting new offers, but unfortunately, I think many of them will have to wait a long time to get a new opportunity. Those with whom I am still in contact are quite desperate on the job... â€”  read more "
I used to be proud to work here,https://www.thelayoff.com/t/1jWsz1ES,"Now I can't wait to leave... The worst thing that could've happened to me is that this was my only option. Fortunately, it's not."
What would happen??????,https://www.thelayoff.com/t/1jWHHopM,Of the 11K or so people laid off I am making a low estimate that they have 100 unique connections on all of their social media. What of they reached out and asked all there contacts to delete their twitter accounts. How would that if any impact... â€”  read more 
"How many managers are there for cv""s",https://www.thelayoff.com/t/1jWHtJXq,"How many managers are there for connected vehicles? It seems every other person seems to showcase and designates himself /herself on linkedin that they are THE cloud connectivity manager for ev""s"
"Nice move, huh?",https://www.thelayoff.com/t/1jVWRKW3,"""In a series of tweets Monday, (EM) went after Apple (AAPL), accused the tech giant, and world's most-valuable company, for what he claimed was Apple's (AAPL) slashing of its advertising on Twitter (TWTR)."""
"Twitter has lost 50 of its top 100 advertisers since Elon Musk took over, report says",https://www.thelayoff.com/t/1jTnq5hA,https://www.npr.org/2022/11/25/1139180002/twitter-loses-50-top-advertisers-elon-musk
Elon claims Trump never violated terms...,https://www.thelayoff.com/t/1jT1fZBp,https://twitter.com/elonmusk/status/1596275526259425280?t=9TqoBZJI_xXRUnqbdOgFyw&s=19
More layoffs - but how?,https://www.thelayoff.com/t/1jSx4wnM,"Who is even left to get rid of, other than some desperate people who truly have no choice, that is? All those with options or worth their salt have walked away already. I swear, it'll not take nearly as long as I thought for this whole wobbly house... â€”  read more "
No way this could backfire,https://www.thelayoff.com/t/1jS8SHE7,"Twitter layoffs trigger oversight risk warning from Brussels Staffers in the office were focused on European Union digital policy, working in close proximity to the seat of power of EUâ€™s executive, the European Commission â€” an entity with an... â€”  read more "
The Borg Elon,https://www.thelayoff.com/t/1jRvGpk8,"Elon has the right to do what he wants as he spent a lot of money to buy Twitter. However, the insensitive manner in which he did it shows a lack of human empathy. The bird is dead the culture is destroyed. The massive cuts are due to the extra 13... â€”  read more "
Is anybody other than H1Bs left at Twitter?,https://www.thelayoff.com/t/1jRcEVjF,Not Found
This has become one big mess,https://www.thelayoff.com/t/1jQFVseu,"Apple and Elon Musk's Twitter are on a collision course [ https://www.cnbc.com/2022/11/23/apple-and-elon-musks-twitter-are-on-a-collision-course.html ] I've already had enough drama, but it looks like there will be more of it."
Nobody sane or any good will want to join with that id--t in charge,https://www.thelayoff.com/t/1jQLESdg,"Hillicon Valley â€” Musk ends layoffs, actively recruiting After weeks of massive layoffs at Twitter, Elon Musk is turning the corner and looking to hire again for roles in sales and... â€”  read more "
How would this affect severance? ,https://www.thelayoff.com/t/1jQQF6UO,"I think we can all agree that Twitter is headed for bankruptcy. Now, I know next to nothing about the bankruptcy process, and my online research has only served to increase my confusion. Can someone please clarify to me what this would mean in terms... â€”  read more "
Leon = Sloppier Bill Gates,https://www.thelayoff.com/t/1jQJUpza,https://youtu.be/OeoBWzIRuic
Twitter in two years,https://www.thelayoff.com/t/1jP02EhY,"I personally don't see my future at Twitter anymore. Five years is too long, so I ask where do you see this company in two years? I wouldn't like dark forecasts for this company to come true, but on the other hand, the future does not look very... â€”  read more "
To all the foreign workers,https://www.thelayoff.com/t/1jPK1Awp,https://books.google.com/books/about/Beasts_of_the_Field.html?id=DxOHu1EP36cC
Twtr house is clean and hiring begins for Twitter 2.0,https://www.thelayoff.com/t/1jPvpvj5,"Twitter's new owner Elon Musk told staff in an all-hands meeting that the company does not plan more layoffs and is recruiting for engineering and ad sales roles, according to a tweet by a the Verge reporter."
Pausing Ads,https://www.thelayoff.com/t/1jPjwhmT,Iâ€™ve seen a lot of technical and ideological takes on Elon Twitter but wanted to share the marketing perspective. For background Iâ€™m a director at a medium sized b2b tech company (not in finserv anymore) running a team that deploys about $80M in ad... â€”  read more 
Smuk's intention were never...,https://www.thelayoff.com/t/1jOMc0cj,Leons' intention were never to build this company that forced him to buy it. He would be happy grounding it and washing his hands away from it through bankruptcy.
Quit calling EM an engineer,https://www.thelayoff.com/t/1jOlZCT4,Quit calling EM an engineer
Here's something constructive to do...,https://www.thelayoff.com/t/1jOFJjVP,across California... https://www.highereducationinquirer.org/2022/11/university-of-california-academic.html
'It's over': Twitter France's head quits amid layoffs,https://www.thelayoff.com/t/1jOfP8Kv,"Twitter Inc's head of French operations, Damien Viel, said he was quitting the social media platform, whose new owner Elon Musk recently fired top executives and enforced steep job cuts at the... â€”  read more "
Meanwhile in Europe,https://www.thelayoff.com/t/1jNbpwp9,"So Musk sent emails to European Twitter employees, firing them. Problem is, you cannot legally fire people that way here, so legally they're still employed and legally owed money for their time. But also, firing people as exists in the USA doesn't... â€”  read more "
